id,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,14 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,14 Day Advertised ASIN Units (#),14 Day Brand Halo ASIN Units (#),14 Day Advertised ASIN Sales ,14 Day Brand Halo ASIN Sales 
6408,2025-09-01,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,628,8,0.01273885,2.6575,21.26,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6409,2025-09-02,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,841,3,0.00356718,2.72666666666667,8.18,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6410,2025-09-03,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,882,10,0.01133787,2.729,27.29,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6411,2025-09-04,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,917,7,0.00763359,2.65285714285714,18.57,323.0,0.05749226,17.3936456650512,1,1,0.1428571,1,0,323.0,0.0
6412,2025-09-05,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,complements,-,b0cz6t9152,695,8,0.01151079,2.6,20.8,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6413,2025-09-05,No Portfolio,INR,PEACE LILY_SP-Auto - SP-RCH1,PEACE LILY_SP-Auto,substitutes,-,b0cz92rkw4,1,1,1.0,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6414,2025-09-04,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0cz9ltc7k,0,0,,,0.0,0.0,,,0,0,,0,0,0.0,0.0
6415,2025-09-03,No Portfolio,INR,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,Bamboo Plant - B0F93M45DM - Generic - SP - Auto - SP - RCH1,substitutes,-,b0cznwkrx1,8,1,0.125,1.81,1.81,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6416,2025-09-04,LOTUS SEEDS,INR,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,substitutes,-,b0d1323kj4,1,1,1.0,3.93,3.93,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6417,2025-09-03,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0d1mvjjjm,4,1,0.25,2.38,2.38,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6418,2025-09-05,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0d1mwzgrl,72,2,0.02777778,1.985,3.97,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
